,aid,advertiserId,campaignId,creativeId,creativeSize,adCategoryId,productId,productType
0,178,8203,76104,1500666,59,282,0,6
1,2050,19441,178687,245165,53,1,0,6
2,1716,5552,158101,1080850,35,27,113,9
3,336,370,4833,119845,22,67,113,9
4,671,45705,352827,660519,42,67,0,4
5,529,10122,163352,220558,35,10,3733,11
6,927,370,219802,492484,35,67,113,9
7,1714,79,25739,1608684,59,10,1455,11
8,977,5758,199508,1080962,100,21,0,4
9,450,45705,352827,565415,42,67,0,4
10,1749,21359,361928,585909,100,21,0,4
11,404,821,888,1353465,59,10,439,11
12,302,18621,745599,1628574,91,21,0,4
13,1202,8203,47118,1083112,95,218,0,6
14,838,452,131853,1640724,93,10,12193,11
15,1842,27367,95990,1211265,35,25,16791,9
16,875,60,128701,832650,35,34,3194,11
17,846,8864,310473,1073411,22,43,25730,9
18,1962,8203,76104,608495,95,282,0,6
19,1171,370,262085,717054,35,27,113,9
20,1781,25420,135565,1606251,53,4,0,4
21,1622,17597,51385,838455,35,27,0,6
22,1254,8350,244601,1383456,35,59,0,4
23,231,11487,159012,991964,20,1,0,4
24,191,25485,50138,58465,35,51,15454,11
25,113,79,25739,1202263,59,10,1455,11
26,1057,388,134068,1340722,35,27,113,9
27,145,18621,154634,981822,35,21,0,4
28,1284,6841,159118,1758880,42,10,3733,11
29,86,8203,76104,416399,59,282,0,6
30,686,370,696695,1464074,35,27,113,9
31,1291,1082,40405,1434096,53,13,0,6
32,853,29704,60929,154811,95,108,0,6
33,765,388,134068,1271219,35,27,113,9
34,2031,83042,280832,425385,22,70,0,4
35,1507,327,358536,745048,35,67,113,9
36,2054,915,31020,794412,22,51,0,4
37,1599,3993,63752,792238,59,10,19256,11
38,1338,702,12724,1147463,105,10,4669,11
39,1672,327,110094,942499,35,67,113,9
40,1350,7565,353610,1554384,109,94,0,4
41,1415,133292,464828,1334609,22,74,0,4
42,420,2676,692763,1451219,77,8,0,4
43,1021,388,243160,1249596,22,27,113,9
44,1931,7300,36763,1401261,79,21,0,4
45,1925,79,25739,1765755,59,10,1455,11
46,432,11437,18237,1081485,100,21,0,4
47,1044,18630,33813,38299,35,4,0,4
48,117,702,18552,619519,53,24,5615,11
49,1930,58643,407774,683342,35,67,113,9
50,1950,41806,233191,1016027,35,13,27855,9
51,1621,990,51315,1462184,35,27,13727,9
52,206,13915,23303,440096,91,108,0,4
53,2196,20943,445098,767513,53,4,0,4
54,121,243,10460,1494257,22,27,113,9
55,1508,452,115759,1367823,35,10,12193,11
56,2068,14315,73450,1661158,42,265,0,4
57,894,452,38391,43862,35,10,12193,11
58,1317,702,15634,480095,35,24,5615,11
59,1871,9106,734054,1589088,79,21,0,4
60,471,79,80,731893,22,10,38,11
61,436,7926,378648,621766,77,8,0,4
62,174,11487,668182,1512679,22,21,0,4
63,681,728,174407,1638352,42,24,11636,11
64,1957,388,404,1513931,22,27,113,9
65,1468,915,994,1610899,60,51,0,4
66,1242,702,15634,883304,35,34,5615,11
67,1023,8494,12711,192305,42,24,4666,11
68,1991,702,42104,1441131,53,10,4669,11
69,1998,15174,26003,1260597,35,125,0,6
70,1966,5552,158101,1116089,35,27,113,9
71,903,285,59293,210057,42,30,0,6
72,2154,22802,295567,1772271,91,204,0,4
73,951,47823,475236,993205,100,21,0,4
74,1407,702,12724,962151,105,10,4669,11
75,1215,5459,172796,1360276,59,142,0,6
76,1429,10055,86429,641118,22,21,0,6
77,1017,11487,741453,1614385,22,21,0,4
78,647,5459,7527,910853,59,142,0,6
79,205,9571,538818,1040130,35,48,5336,9
80,2048,8203,37818,240336,59,142,0,6
81,1107,5552,68476,476885,35,27,113,9
82,966,915,31020,666210,22,51,0,4
83,2216,5459,172796,1321733,91,142,0,6
84,1904,8203,37818,414738,109,142,0,6
85,1277,2775,12128,1205997,35,21,0,4
86,562,21017,167166,864509,109,179,0,4
